Date,Stock Price,Gold Price,GBI,Stock Symbol
2024-09-06,220.33506774902344,230.6300048828125,1.3218540089063073,AAPL
2024-09-09,220.4248809814453,231.60000610351562,1.3168542985556697,AAPL
2024-09-10,219.62661743164062,232.6199951171875,1.3063321274309836,AAPL
2024-09-11,222.17103576660156,232.25,1.323571461133406,AAPL
2024-09-12,222.28079223632812,236.3300018310547,1.3013638992449708,AAPL
2024-09-13,222.01136779785156,238.67999267578125,1.2869891154114759,AAPL
2024-09-16,215.84495544433594,238.66000366210938,1.2513475205885207,AAPL
2024-09-17,216.31390380859375,237.33999633789062,1.2610409247336547,AAPL
2024-09-18,220.20535278320312,235.50999450683594,1.2937018720680364,AAPL
2024-09-19,228.3673858642578,239.1699981689453,1.3211224042010983,AAPL
2024-09-20,227.6988525390625,242.2100067138672,1.3007218555751296,AAPL
2024-09-23,225.97265625,242.67999267578125,1.2883610740220297,AAPL
2024-09-24,226.8706817626953,246.07000732421875,1.2756612729024561,AAPL
2024-09-25,225.8728790283203,245.72999572753906,1.271808114794613,AAPL
2024-09-26,227.02035522460938,246.97999572753906,1.2717996390203488,AAPL
2024-09-27,227.2897491455078,245.02000427246094,1.2834944157801143,AAPL
2024-09-30,232.48831176757812,243.05999755859375,1.323437120774198,AAPL
2024-10-01,225.71322631835938,245.61000061035156,1.271530083233365,AAPL
2024-10-02,226.28196716308594,245.66000366210938,1.2744745541348104,AAPL
2024-10-03,225.17440795898438,245.49000549316406,1.2691147487464605,AAPL
2024-10-04,226.30194091796875,245.0,1.2780206516299344,AAPL
2024-10-07,221.2031707763672,244.1699981689453,1.2534722543445644,AAPL
2024-10-08,225.27420043945312,242.3699951171875,1.2860216504750357,AAPL
2024-10-09,229.03591918945312,241.0500030517578,1.3146560157798004,AAPL
2024-10-10,228.53700256347656,242.82000732421875,1.302230120623527,AAPL
2024-10-11,227.05029296875,245.47000122070312,1.2797917880017433,AAPL
2024-10-14,230.79205322265625,245.07000732421875,1.3030058464440089,AAPL
2024-10-15,233.33645629882812,245.9199981689453,1.3128177145692805,AAPL
2024-10-16,231.27099609375,247.14999389648438,1.2947211547994426,AAPL
2024-10-17,231.6401824951172,248.6300048828125,1.289068622224392,AAPL
2024-10-18,234.4839324951172,251.27000427246094,1.291183950504657,AAPL
2024-10-21,235.96067810058594,251.22000122070312,1.2995742556318843,AAPL
2024-10-22,235.342041015625,253.92999267578125,1.2823341043154897,AAPL
2024-10-23,230.25323486328125,250.8699951171875,1.26990927832925,AAPL
2024-10-24,230.06365966796875,252.8000030517578,1.259176547769513,AAPL
2024-10-25,230.9018096923828,253.32000732421875,1.2611696823687402,AAPL
2024-10-28,232.88743591308594,253.3300018310547,1.27196485097854,AAPL
2024-10-29,233.15684509277344,256.0899963378906,1.259711904328693,AAPL
2024-10-30,229.59469604492188,257.5,1.2336736675516007,AAPL
2024-10-31,225.4138946533203,253.50999450683594,1.2302723801783795,AAPL
2024-11-01,222.4204864501953,252.47000122070312,1.2189353760770598,AAPL
2024-11-04,221.52244567871094,252.8300018310547,1.212285210596692,AAPL
2024-11-05,222.95928955078125,253.39999389648438,1.2174037888005915,AAPL
2024-11-06,222.23089599609375,245.6999969482422,1.2514542094345287,AAPL
2024-11-07,226.98043823242188,249.64999389648438,1.2579765563292928,AAPL
2024-11-08,226.7107391357422,247.9600067138672,1.2650454550870975,AAPL
2024-11-11,223.98373413085938,242.13999938964844,1.2798692974189236,AAPL
2024-11-12,223.98373413085938,240.0500030517578,1.2910124847156448,AAPL
2024-11-13,224.8727569580078,237.6300048828125,1.3093364095392894,AAPL
2024-11-14,227.9693603515625,237.00999450683594,1.3308389338316429,AAPL
2024-11-15,224.7528839111328,236.58999633789062,1.3143909882117708,AAPL
2024-11-18,227.7695770263672,241.08999633789062,1.3071703916125987,AAPL
2024-11-19,228.02928161621094,243.25,1.2970402320117354,AAPL
2024-11-20,228.7484893798828,244.6199951171875,1.2938441270409264,AAPL
2024-11-21,228.26902770996094,246.66000366210938,1.2804538569555872,AAPL
2024-11-22,229.61753845214844,249.83999633789062,1.2716241561754975,AAPL
2024-11-25,232.61424255371094,242.47999572753906,1.3273213003409288,AAPL
2024-11-26,234.8018341064453,242.9499969482422,1.33721199711712,AAPL
2024-11-27,234.67198181152344,243.49000549316406,1.3335084707322242,AAPL
2024-11-29,237.06935119628906,245.58999633789062,1.3356123179722166,AAPL
2024-12-02,239.3268585205078,243.44000244140625,1.3602388471266171,AAPL
2024-12-03,242.3834991455078,243.92999267578125,1.3748443250153055,AAPL
2024-12-04,242.74310302734375,244.6699981689453,1.3727196732169735,AAPL
2024-12-05,242.7730712890625,242.86000061035156,1.383121072487868,AAPL
2024-12-06,242.5732879638672,242.9499969482422,1.3814709415701496,AAPL
2024-12-09,246.47900390625,245.36000061035156,1.3899265264335185,AAPL
2024-12-10,247.4978790283203,248.58999633789062,1.3775377556215875,AAPL
2024-12-11,246.2192840576172,250.9600067138672,1.3574793259398001,AAPL
2024-12-12,247.68768310546875,247.27999877929688,1.3858974576859662,AAPL
2024-12-13,247.85748291015625,244.2899932861328,1.4038219691821199,AAPL
2024-12-16,250.7642822265625,244.8800048828125,1.4168635555923816,AAPL
2024-12-17,253.20159912109375,243.94000244140625,1.4361476688858414,AAPL
2024-12-18,247.77757263183594,239.25999450683594,1.4328726161158398,AAPL
2024-12-19,249.51565551757812,239.60000610351562,1.440876149081655,AAPL
2024-12-20,254.21051025390625,242.10000610351562,1.4528285952081101,AAPL
2024-12-23,254.98965454101562,240.9600067138672,1.464175957385061,AAPL
2024-12-24,257.91644287109375,241.44000244140625,1.4780375953621334,AAPL
2024-12-26,258.7355041503906,243.07000732421875,1.4727883177777785,AAPL
2024-12-27,255.30929565429688,241.39999389648438,1.463339345963211,AAPL
2024-12-30,251.9230194091797,240.6300048828125,1.448550866558829,AAPL
2024-12-31,250.1449737548828,242.1300048828125,1.4294166857516393,AAPL
2025-01-02,243.5821990966797,245.4199981689453,1.3732552744930002,AAPL
2025-01-03,243.0927276611328,243.49000549316406,1.3813588184118035,AAPL
2025-01-06,244.73092651367188,243.19000244140625,1.3923833280907314,AAPL
2025-01-07,241.94400024414062,244.55999755859375,1.3688161253629587,AAPL
2025-01-08,242.43344116210938,245.86000061035156,1.3643328149680019,AAPL
2025-01-10,236.58987426757812,248.2100067138672,1.318841317108405,AAPL
2025-01-13,234.14256286621094,245.74000549316406,1.318317998400605,AAPL
2025-01-14,233.02378845214844,247.02999877929688,1.3051674663787556,AAPL
2025-01-15,237.60874938964844,248.8800048828125,1.3209552313373136,AAPL
2025-01-16,228.00930786132812,250.60000610351562,1.2588882391855523,AAPL
2025-01-17,229.7274169921875,249.27000427246094,1.2751418093462585,AAPL
2025-01-21,222.39547729492188,253.1300048828125,1.2156204593489364,AAPL
2025-01-22,223.58416748046875,254.42999267578125,1.2158735717529014,AAPL
2025-01-23,223.41436767578125,254.07000732421875,1.216671615157194,AAPL
2025-01-24,222.5353240966797,255.64999389648438,1.2043947368647863,AAPL
2025-01-27,229.6075439453125,252.99000549316406,1.255736349505053,AAPL
2025-01-28,237.99832153320312,255.17999267578125,1.2904552561096274,AAPL
2025-01-29,239.0971221923828,254.1999969482422,1.3014110358109285,AAPL
2025-01-30,237.3290557861328,258.04998779296875,1.2725145178191701,AAPL
2025-01-31,235.74081420898438,258.55999755859375,1.2615054219390638,AAPL
2025-02-03,227.75958251953125,259.94000244140625,1.2123254343475078,AAPL
2025-02-04,232.54432678222656,262.5,1.2257223871733183,AAPL
2025-02-05,232.21469116210938,264.1300048828125,1.2164314219072494,AAPL
2025-02-06,232.9638671875,263.42999267578125,1.2235987493766594,AAPL
2025-02-07,227.3800048828125,263.8999938964844,1.1921435916099912,AAPL
2025-02-10,227.64999389648438,268.3699951171875,1.1736790754821034,AAPL
2025-02-11,232.6199951171875,267.3900146484375,1.203697987748896,AAPL
2025-02-12,236.8699951171875,267.6700134277344,1.2244075746749643,AAPL
2025-02-13,241.52999877929688,270.30999755859375,1.2363022163821158,AAPL
2025-02-14,244.60000610351562,266.2900085449219,1.270917234898826,AAPL
2025-02-18,244.47000122070312,270.70001220703125,1.2495480946056179,AAPL
